year,month,总发病数,纬度,经度
2005,1,90,28.11266,112.982279
2005,2,54,28.11266,112.982279
2005,3,113,28.11266,112.982279
2005,4,146,28.11266,112.982279
2005,5,242,28.11266,112.982279
2005,6,273,28.11266,112.982279
2005,7,251,28.11266,112.982279
2005,8,275,28.11266,112.982279
2005,9,270,28.11266,112.982279
2005,10,291,28.11266,112.982279
2005,11,169,28.11266,112.982279
2005,12,81,28.11266,112.982279
2006,1,57,28.11266,112.982279
2006,2,57,28.11266,112.982279
2006,3,105,28.11266,112.982279
2006,4,109,28.11266,112.982279
2006,5,157,28.11266,112.982279
2006,6,150,28.11266,112.982279
2006,7,195,28.11266,112.982279
2006,8,159,28.11266,112.982279
2006,9,156,28.11266,112.982279
2006,10,152,28.11266,112.982279
2006,11,109,28.11266,112.982279
2006,12,65,28.11266,112.982279
2007,1,73,28.11266,112.982279
2007,2,54,28.11266,112.982279
2007,3,72,28.11266,112.982279
2007,4,92,28.11266,112.982279
2007,5,128,28.11266,112.982279
2007,6,153,28.11266,112.982279
2007,7,189,28.11266,112.982279
2007,8,161,28.11266,112.982279
2007,9,161,28.11266,112.982279
2007,10,150,28.11266,112.982279
2007,11,82,28.11266,112.982279
2007,12,51,28.11266,112.982279
2008,1,37,28.11266,112.982279
2008,2,32,28.11266,112.982279
2008,3,61,28.11266,112.982279
2008,4,81,28.11266,112.982279
2008,5,105,28.11266,112.982279
2008,6,116,28.11266,112.982279
2008,7,132,28.11266,112.982279
2008,8,140,28.11266,112.982279
2008,9,121,28.11266,112.982279
2008,10,86,28.11266,112.982279
2008,11,78,28.11266,112.982279
2008,12,69,28.11266,112.982279
2009,1,57,28.11266,112.982279
2009,2,89,28.11266,112.982279
2009,3,71,28.11266,112.982279
2009,4,65,28.11266,112.982279
2009,5,105,28.11266,112.982279
2009,6,158,28.11266,112.982279
2009,7,218,28.11266,112.982279
2009,8,176,28.11266,112.982279
2009,9,132,28.11266,112.982279
2009,10,87,28.11266,112.982279
2009,11,61,28.11266,112.982279
2009,12,53,28.11266,112.982279
2010,1,60,28.11266,112.982279
2010,2,42,28.11266,112.982279
2010,3,64,28.11266,112.982279
2010,4,59,28.11266,112.982279
2010,5,136,28.11266,112.982279
2010,6,80,28.11266,112.982279
2010,7,118,28.11266,112.982279
2010,8,145,28.11266,112.982279
2010,9,122,28.11266,112.982279
2010,10,57,28.11266,112.982279
2010,11,48,28.11266,112.982279
2010,12,44,28.11266,112.982279
2011,1,35,28.11266,112.982279
2011,2,33,28.11266,112.982279
2011,3,48,28.11266,112.982279
2011,4,38,28.11266,112.982279
2011,5,77,28.11266,112.982279
2011,6,75,28.11266,112.982279
2011,7,130,28.11266,112.982279
2011,8,124,28.11266,112.982279
2011,9,92,28.11266,112.982279
2011,10,61,28.11266,112.982279
2011,11,70,28.11266,112.982279
2011,12,77,28.11266,112.982279
2012,1,47,28.11266,112.982279
2012,2,57,28.11266,112.982279
2012,3,70,28.11266,112.982279
2012,4,62,28.11266,112.982279
2012,5,89,28.11266,112.982279
2012,6,113,28.11266,112.982279
2012,7,86,28.11266,112.982279
2012,8,93,28.11266,112.982279
2012,9,89,28.11266,112.982279
2012,10,70,28.11266,112.982279
2012,11,60,28.11266,112.982279
2012,12,60,28.11266,112.982279
2013,1,52,28.11266,112.982279
2013,2,46,28.11266,112.982279
2013,3,69,28.11266,112.982279
2013,4,81,28.11266,112.982279
2013,5,113,28.11266,112.982279
2013,6,211,28.11266,112.982279
2013,7,158,28.11266,112.982279
2013,8,126,28.11266,112.982279
2013,9,85,28.11266,112.982279
2013,10,87,28.11266,112.982279
2013,11,71,28.11266,112.982279
2013,12,57,28.11266,112.982279
2014,1,73,28.11266,112.982279
2014,2,56,28.11266,112.982279
2014,3,71,28.11266,112.982279
2014,4,78,28.11266,112.982279
2014,5,103,28.11266,112.982279
2014,6,135,28.11266,112.982279
2014,7,113,28.11266,112.982279
2014,8,110,28.11266,112.982279
2014,9,82,28.11266,112.982279
2014,10,64,28.11266,112.982279
2014,11,60,28.11266,112.982279
2014,12,66,28.11266,112.982279
2015,1,63,28.11266,112.982279
2015,2,53,28.11266,112.982279
2015,3,59,28.11266,112.982279
2015,4,80,28.11266,112.982279
2015,5,111,28.11266,112.982279
2015,6,126,28.11266,112.982279
2015,7,115,28.11266,112.982279
2015,8,105,28.11266,112.982279
2015,9,111,28.11266,112.982279
2015,10,69,28.11266,112.982279
2015,11,75,28.11266,112.982279
2015,12,66,28.11266,112.982279
2016,1,48,28.11266,112.982279
2016,2,61,28.11266,112.982279
2016,3,74,28.11266,112.982279
2016,4,98,28.11266,112.982279
2016,5,84,28.11266,112.982279
2016,6,127,28.11266,112.982279
2016,7,130,28.11266,112.982279
2016,8,139,28.11266,112.982279
2016,9,84,28.11266,112.982279
2016,10,61,28.11266,112.982279
2016,11,50,28.11266,112.982279
2016,12,62,28.11266,112.982279
2017,1,52,28.11266,112.982279
2017,2,63,28.11266,112.982279
2017,3,78,28.11266,112.982279
2017,4,57,28.11266,112.982279
2017,5,139,28.11266,112.982279
2017,6,131,28.11266,112.982279
2017,7,130,28.11266,112.982279
2017,8,140,28.11266,112.982279
2017,9,78,28.11266,112.982279
2017,10,83,28.11266,112.982279
2017,11,63,28.11266,112.982279
2017,12,46,28.11266,112.982279
2018,1,64,28.11266,112.982279
2018,2,37,28.11266,112.982279
2018,3,41,28.11266,112.982279
2018,4,67,28.11266,112.982279
2018,5,106,28.11266,112.982279
2018,6,112,28.11266,112.982279
2018,7,107,28.11266,112.982279
2018,8,89,28.11266,112.982279
2018,9,83,28.11266,112.982279
2018,10,63,28.11266,112.982279
2018,11,65,28.11266,112.982279
2018,12,46,28.11266,112.982279
2019,1,54,28.11266,112.982279
2019,2,45,28.11266,112.982279
2019,3,95,28.11266,112.982279
2019,4,271,28.11266,112.982279
2019,5,101,28.11266,112.982279
2019,6,114,28.11266,112.982279
2019,7,112,28.11266,112.982279
2019,8,109,28.11266,112.982279
2019,9,89,28.11266,112.982279
2019,10,100,28.11266,112.982279
2019,11,71,28.11266,112.982279
2019,12,45,28.11266,112.982279
2020,1,48,28.11266,112.982279
2020,2,44,28.11266,112.982279
2020,3,33,28.11266,112.982279
2020,4,46,28.11266,112.982279
2020,5,78,28.11266,112.982279
2020,6,119,28.11266,112.982279
2020,7,112,28.11266,112.982279
2020,8,89,28.11266,112.982279
2020,9,74,28.11266,112.982279
2020,10,66,28.11266,112.982279
2020,11,38,28.11266,112.982279
2020,12,21,28.11266,112.982279
